date,count
2014/11/28,58
2014/11/29,58
2014/11/30,58
2014/12/01,59
2014/12/02,60
2014/12/03,63
2014/12/04,70
2014/12/05,70
2014/12/06,68
2014/12/07,68
2014/12/08,76
2014/12/09,75
2014/12/10,68
2014/12/11,70
2014/12/12,73
2014/12/13,68
2014/12/14,68
2014/12/15,71
2014/12/16,77
2014/12/17,73
2014/12/18,67
2014/12/19,66
2014/12/20,65
2014/12/21,65
2014/12/22,67
2014/12/23,66
2014/12/24,66
2014/12/25,66
2014/12/26,66
2014/12/27,66
2014/12/28,66
2014/12/29,66
2014/12/30,66
2014/12/31,66
2015/01/01,66
2015/01/02,66
2015/01/03,66
2015/01/04,66
2015/01/05,77
2015/01/06,69
2015/01/07,76
2015/01/08,74
2015/01/09,92
2015/01/10,89
2015/01/11,89
2015/01/12,92
2015/01/13,104
2015/01/14,107
2015/01/15,109
2015/01/16,109
2015/01/17,100
2015/01/18,100
2015/01/19,102
2015/01/20,102
2015/01/21,108
2015/01/22,111
2015/01/23,104
2015/01/24,102
2015/01/25,102
2015/01/26,104
