date,count
2014/11/28,443
2014/11/29,443
2014/11/30,443
2014/12/01,448
2014/12/02,452
2014/12/03,453
2014/12/04,455
2014/12/05,456
2014/12/06,454
2014/12/07,454
2014/12/08,474
2014/12/09,485
2014/12/10,493
2014/12/11,507
2014/12/12,511
2014/12/13,506
2014/12/14,506
2014/12/15,510
2014/12/16,523
2014/12/17,523
2014/12/18,530
2014/12/19,529
2014/12/20,529
2014/12/21,529
2014/12/22,531
2014/12/23,551
2014/12/24,551
2014/12/25,551
2014/12/26,551
2014/12/27,551
2014/12/28,551
2014/12/29,551
2014/12/30,551
2014/12/31,551
2015/01/01,551
2015/01/02,551
2015/01/03,551
2015/01/04,551
2015/01/05,555
2015/01/06,547
2015/01/07,559
2015/01/08,561
2015/01/09,559
2015/01/10,557
2015/01/11,557
2015/01/12,563
2015/01/13,564
2015/01/14,564
2015/01/15,574
2015/01/16,567
2015/01/17,559
2015/01/18,559
2015/01/19,563
2015/01/20,565
2015/01/21,571
2015/01/22,574
2015/01/23,582
2015/01/24,579
2015/01/25,579
2015/01/26,587
